feature,avg_mae
X8_15877735,0.12784621526240875
X3_7384116,0.1278017710257571
X16_66911346,0.12780068772761258
X5_61334995,0.12776553002577895
X1_254207127,0.1277222871658369
X17_31457862,0.12771964625624496
X15_121526302,0.12771683938835568
X16_43585530,0.12768911816410286
X17_34780416,0.12768424624076585
X15_127549858,0.1276692599617539
X6_157533345,0.12766589122187036
X16_55618640,0.1276606568904944
X15_127445524,0.1276578140420484
X14_125264549,0.1276530514486706
X16_39932740,0.1276523203625512
X16_43542844,0.1276478528057592
X1_234239835,0.1276445435370689
X5_94095212,0.12763982026212756
X16_45313251,0.12763949775231317
X15_127487260,0.1276342912883858
X15_127460699,0.12763395125117205
X14_125917150,0.127626466038419
X16_45544013,0.1276264114822354
X15_17671133,0.12762420559113605
X10_53303088,0.12762215318330536
X15_127433907,0.12762135692963383
X14_130349040,0.12761765657561638
X16_44187539,0.12761551613452576
X4_55552183,0.1276151942237297
X6_54803786,0.12761422804242475
X1_105997010,0.12761337027392802
X14_126495169,0.12761028125431761
X16_55699670,0.12760657400285816
X4_11068452,0.12760625940870785
X8_15188628,0.12760618386012848
X6_150797426,0.12760536654345647
X4_56209451,0.12760522265270519
X16_55916642,0.12760402853458847
X9_123877358,0.12760235104683595
X7_92111470,0.12760217322331738
X8_127695792,0.12759781731844783
X16_57510945,0.12759747419182516
X16_44459651,0.12759612859361147
X7_38652404,0.12759609109022765
X10_23348705,0.12759016779350357
X7_5771194,0.12758957618081834
X16_21461115,0.12758847929358455
X16_2026220,0.12758515504051574
X2_43686936,0.1275828614672989
X9_138519803,0.1275827099394287
X14_5651597,0.1275822095568834
X13_104324519,0.1275816095109336
X10_49694159,0.12758059530384536
X8_132284841,0.12757970919473088
X7_31357292,0.12757837665689062
X5_68563062,0.12757789283924584
X15_7623744,0.12757668650109744
X9_113189427,0.12757659455204626
X3_6224790,0.1275757807988847
X1_193496717,0.12757421573491912
X1_258121671,0.12757398504246026
X16_41138776,0.12757196948999602
X3_3175343,0.12757149109168445
X4_101536590,0.12757098869082803
X6_102557955,0.12756986173370907
X13_192648811,0.12756953339977395
X17_48100586,0.12756944525686292
X7_29372986,0.1275687967340082
X13_202757293,0.12756869604528515
X2_40170598,0.12756843357799955
X7_5067246,0.12756760029343311
X6_156836652,0.12756730454966597
X1_66381608,0.12756398672725547
X13_84026578,0.12756398200505564
X6_91452771,0.12756220841842933
X16_60279460,0.1275620770853653
X13_34456191,0.12756151465309457
X16_72340090,0.12756117441124673
X16_21282821,0.1275605259950724
X2_40227283,0.1275596356521562
X16_21238717,0.1275596182338717
X3_15141853,0.12755908780323563
X3_71626220,0.12755889184770067
X2_40202282,0.1275588159556954
X12_8451327,0.12755861091700324
X14_30893126,0.1275570936942363
X1_31548038,0.12755695874210649
X10_23159646,0.1275565542911514
X17_48086237,0.1275563965350237
X8_113397356,0.12755560358420243
X16_70338786,0.12755550873618446
X1_97618158,0.12755469191631236
X16_21349727,0.12755441546392676
X1_254874862,0.12755361547201136
X3_11001954,0.12755337775795914
X12_51610725,0.12755317831334426
X3_15805383,0.12755269701871647
X8_16895594,0.1275519984124783
X16_55257771,0.1275514421320777
X14_2259318,0.12755113844435964
X13_166933737,0.12754986721087141
X16_55346885,0.12754978771177375
X4_18427459,0.12754960020330267
X16_50597105,0.12754880948234773
X6_148883803,0.12754872249372126
X3_48040039,0.12754868699798372
X1_107648803,0.1275481985112331
X5_79093904,0.12754817257553294
X17_4182741,0.1275478396913473
X16_45430274,0.12754783328670383
X2_40277395,0.12754773471573305
X13_172749304,0.1275458522658294
X13_11326455,0.12754557754841903
X3_10422524,0.12754486285611025
X2_54229541,0.1275447413459615
X1_258263178,0.12754451668265365
X9_124504732,0.1275432296144193
X13_193308872,0.12754244502286122
X3_10456806,0.12754153836340495
X12_60317715,0.12754135096279173
X13_32739131,0.1275411520981429
X16_45510613,0.12754104799914343
X10_23419597,0.12754036355285545
X9_137474938,0.12753957163104349
X8_15864779,0.1275388509512468
X8_15770741,0.12753879743390212
X3_10406885,0.12753863500461748
X8_15614722,0.1275383723087634
X5_61931507,0.1275383023622729
X10_23455377,0.1275381813445163
X1_257864875,0.12753778569408022
X14_40929012,0.12753733566535103
X12_33866115,0.12753698653130985
X9_85368182,0.12753693097146684
X16_71816589,0.127536914966571
X15_130676690,0.1275367612110396
X16_21862437,0.12753650610097142
X8_30453881,0.12753609743434502
X15_31348957,0.12753557899525297
X5_82750116,0.12753516530859413
X5_82779013,0.1275349259544594
X7_97795647,0.1275348992137422
X7_103561166,0.12753466737626123
X1_267472940,0.1275341710750393
X13_200526360,0.12753409862885168
X12_8582631,0.12753396724938834
X14_20389966,0.127533369674093
X4_31986054,0.1275329455969252
X18_3285186,0.1275326240237743
X6_149403130,0.12753250515387682
X3_15760091,0.12753238932399708
X17_31478463,0.12753229319035314
X7_31090799,0.12753212161360059
X2_122594845,0.12753198922652276
X16_47290838,0.1275317639569808
X16_55207044,0.12753157719017394
X9_132935597,0.12753060295439367
X2_87745745,0.127530078390621
X8_109147569,0.12752997054847043
X5_28757500,0.1275299702092391
X5_68997896,0.12752958208910142
X15_22134389,0.12752903171668087
X8_127829752,0.12752878155829106
X7_4435696,0.12752864216749538
X3_71378509,0.12752840699860335
X13_27264043,0.1275283336032111
X16_55142869,0.1275282975276975
X8_1489964,0.12752819461032008
X3_5954017,0.1275279922542783
X16_47263761,0.12752753499598382
X16_55080456,0.12752714582515454
X7_31217540,0.12752711820149248
X8_15837295,0.1275270832290126
X7_44914107,0.12752706231622551
X12_21103288,0.12752671502920235
X16_44985593,0.12752622483549542
X1_94245906,0.1275255477506172
X14_130063671,0.12752540027446763
X9_113884012,0.12752496011537112
X16_44696653,0.12752479270485542
X1_64135700,0.12752442131110095
X16_68311756,0.12752425703146242
X14_29487673,0.12752411420743592
X16_21114784,0.12752405588451052
X8_89864801,0.1275232862642394
X6_5868312,0.12752320130689224
X15_42771198,0.12752292474149218
X15_126216067,0.1275228785612348
X12_18712962,0.12752260017096176
X8_16400498,0.12752241930401373
X7_5522996,0.12752230337315365
X15_44497429,0.1275222156897762
X16_23435232,0.12752218647278177
X8_16246389,0.12752203680338903
X7_5116634,0.12752194142300557
X7_103222685,0.12752171132939502
X10_24519940,0.12752150852704963
X6_166390647,0.12752146559656846
X1_222759863,0.12752144538436924
X15_17005826,0.12752139329362588
X2_119370972,0.12752111582010947
X13_160745027,0.12752058179182574
X16_37013235,0.12752046699951805
X8_15910982,0.12752016730702262
X15_127197873,0.12752015891777743
X7_26002978,0.12752015449847387
X7_5812005,0.127519796112996
X3_71560343,0.12751867387210675
X3_56429533,0.12751854882483385
X4_26109963,0.1275181727088304
X1_79329088,0.12751798168654108
X7_5825811,0.12751782904390546
X14_119272388,0.12751779951750158
X16_44416011,0.12751778030093625
X14_4782256,0.127517766810931
X13_14457781,0.12751772558479374
X10_41965217,0.12751767494515454
X7_39518641,0.12751730439522851
X6_158615228,0.12751725785510504
X12_55431698,0.1275171270044092
X9_76597203,0.12751707375834917
X8_137959176,0.127516895264905
X14_120467819,0.12751674830350931
X7_30356985,0.12751521941212743
X1_258782345,0.12751521247335576
X7_39232880,0.12751497304625456
X6_156678392,0.12751478009852135
X16_39210502,0.12751469865576998
X10_43829913,0.12751458724049344
X9_117179285,0.12751446419916332
X16_39902522,0.12751404592206095
X7_5695070,0.12751382376918727
X9_4596454,0.12751371922079419
X15_112225927,0.12751366319913002
X13_190774053,0.12751332423038936
X2_125411165,0.12751324482131504
X8_103932455,0.12751267222579932
X12_61028475,0.12751252568452845
X8_16376975,0.12751236939056862
X16_60830495,0.12751233011789095
X14_123530019,0.12751226314764408
X16_44685918,0.1275122560696557
X10_51675677,0.1275121226466478
X11_71156793,0.12751203649023504
X16_3633641,0.12751201237143403
X7_5974411,0.12751172774369626
X3_9686831,0.12751128520254754
X8_6074585,0.12751085196705314
X2_128093454,0.12751072024172155
X16_72383235,0.1275106445370959
X12_35909036,0.1275104914474666
X8_135320711,0.12751033474523207
X4_11105788,0.12750995678834784
