feature,avg_mae
X8_137959176,0.04809885527041386
X16_50597105,0.047654656085668684
X8_15614722,0.04764297769765389
X2_118800257,0.0473317910653073
X7_5522996,0.047273218403904006
X15_123851318,0.0472663667096146
X8_97261946,0.04724011207966206
X16_17728503,0.04689426982635564
X3_54742334,0.04677141099038447
X16_52720223,0.04650474725250947
X2_27570007,0.046326311381693464
X1_13274747,0.04613889527144711
X8_15877735,0.04603898963994886
X16_39210502,0.04599472710551785
X1_171545925,0.04583094814332625
X12_30657646,0.04580054055315853
X4_109171727,0.0457681220287132
X8_84101692,0.04568291897486867
X16_51216222,0.04556101002782124
X3_71105236,0.04553038513259811
X13_173094228,0.04549580077533957
X9_524050,0.04546950493196399
X10_16705569,0.04543750641694583
X13_200504530,0.045350929923114694
X8_65158570,0.04533095519365509
X2_98765492,0.04517666786787559
X17_7307379,0.045166677465580646
X5_22323436,0.044993669129812244
X8_63339929,0.04498560712277013
X4_28084136,0.04498125895384931
X7_44914107,0.04490624763762334
X8_72516018,0.044876481601277635
X7_5651564,0.04484739940283679
X13_195543752,0.04481684839852501
X13_32739131,0.04478227128017141
X15_31429514,0.044766934424357814
X10_32963242,0.044754734677218376
X12_55431698,0.044689731398108445
X8_82777466,0.044688291542486665
X11_21274495,0.044680068521585736
X17_43501349,0.04465401740716242
X11_26416303,0.04463580358485399
X8_138774108,0.04463111868382745
X8_68923580,0.04462739185069502
X14_2860976,0.04462531904551417
X16_60699884,0.044596418907015344
X6_18940219,0.044575532346235104
X7_112883144,0.04454536926345478
X15_131105944,0.044524335019667786
X11_6246224,0.044490790331837865
X2_121757392,0.0444360127526691
X12_7615765,0.04438174331865492
X13_11071248,0.04435381552345139
X7_119190574,0.04419140593235268
X13_97379254,0.044180785474124226
X8_15864779,0.04417539073176926
X6_119596300,0.04416558726892376
X16_12533440,0.04415653618350352
X12_48942747,0.04415083601231355
X12_48901564,0.044141409418530966
X8_15910982,0.04412141338025621
X8_5468822,0.04410711365622712
X2_101538152,0.044097000543924354
X1_16723963,0.044081540669610515
X8_2355861,0.04407576692516556
X11_35179421,0.04404344846671457
X14_20504570,0.04399207349306315
X6_141245897,0.043973254373344775
X12_120894,0.0439135221282507
X8_132284841,0.0438739379973783
X15_57945584,0.04386260590827188
X3_96593633,0.04386153510310395
X9_38378779,0.043851644146212836
X2_107190210,0.04383317274389609
X9_135896942,0.04381149285716984
X16_46476521,0.043725364242502326
X5_14427254,0.043717389118686695
X7_29442694,0.04365484198262542
X6_64525085,0.04359598454255284
X14_64633595,0.04357045875257682
X3_76307479,0.043569292800040314
X2_46311140,0.04352616350313585
